Total Positive Comparisons	True  Positive Comparisons	False Positive Comparisons	False Positives List	Total Negative Comparisons	True  Negative Comparisons	False Negative Comparisons	False Negatives List
21	2	0	[]	19	19	19	[568;O15389~569;Q9Y286, 16;Q3SZR3~15;F6Y713, 14;P19652~730;P01023, 1524;Q9H8L6~1925;P04040, 1966;O95497~1951;P35527, 1966;O95497~1934;Q93070, 2490;P70699~1060;P27797, 1961;Q8IVL1~1959;Q7Z7M0, 1958;O43451~1407;P08648, 682;P13598~1601;P80108, 2569;Q63912~2601;Q9CQF9, 2306;P43006~2273;O55026, 360;P35495~361;P35496, 1840;P43308~1597;Q96AY3, 2991;P12314-2~2999;P31994-3, 3001;O75015~2991;P12314-2, 2966;P01876~2965;P01876, 2332;Q99JP7~2281;P21995, 1287;Q86SQ4~1121;P00748]
True Positive Rate	True Negative Rate	Positive Predictive Value	Negative Predictive Value	False Discovery Rate	False Negative Rate	False Positive Rate	False Omission Rate	Matthews Correlation Coefficient (MCC)
0.09523809523809523	1.0	1.0	0.5	0.0	0.9047619047619048	0.0	0.5	0.21821789023599236
