Total Positive Comparisons	True  Positive Comparisons	False Positive Comparisons	False Positives List	Total Negative Comparisons	True  Negative Comparisons	False Negative Comparisons	False Negatives List
21	21	3	[733;P19022~1974;Q6UXD5, 1060;P27797~2490;P70699, 1228;Q16610~1956;P22897]	19	16	0	[]
True Positive Rate	True Negative Rate	Positive Predictive Value	Negative Predictive Value	False Discovery Rate	False Negative Rate	False Positive Rate	False Omission Rate	Matthews Correlation Coefficient (MCC)
1.0	0.8421052631578947	0.875	1.0	0.125	0.0	0.15789473684210525	0.0	0.8583950752789521
