Total Positive Comparisons	True  Positive Comparisons	False Positive Comparisons	False Positives List	Total Negative Comparisons	True  Negative Comparisons	False Negative Comparisons	False Negatives List
21	11	13	[1503;Q13421~658;P50454, 733;P19022~1974;Q6UXD5, 513;P00797~350;P01229, 682;P13598~1376;Q9TQE0, 1840;P43308~350;P01229, 2520;Q61885~788;P08185, 525;P08100~1086;P25063, 283;P08648~1414;P05556, 736;P16070~764;Q9UBG0, 1455;Q9UIQ6~2477;Q8C129, 1427;Q9Y624~592;P40225, 600;P01266~1801;Q96J42, 2617;O09114~2349;P35438]	19	6	10	[16;Q3SZR3~15;F6Y713, 14;P19652~730;P01023, 1524;Q9H8L6~1925;P04040, 1961;Q8IVL1~1959;Q7Z7M0, 1958;O43451~1407;P08648, 2569;Q63912~2601;Q9CQF9, 2306;P43006~2273;O55026, 3001;O75015~2991;P12314-2, 2966;P01876~2965;P01876, 1287;Q86SQ4~1121;P00748]
True Positive Rate	True Negative Rate	Positive Predictive Value	Negative Predictive Value	False Discovery Rate	False Negative Rate	False Positive Rate	False Omission Rate	Matthews Correlation Coefficient (MCC)
0.5238095238095238	0.3157894736842105	0.4583333333333333	0.375	0.5416666666666666	0.47619047619047616	0.6842105263157895	0.625	-0.16350382386265752
