Total Positive Comparisons	True  Positive Comparisons	False Positive Comparisons	False Positives List	Total Negative Comparisons	True  Negative Comparisons	False Negative Comparisons	False Negatives List
21	18	2	[733;P19022~1974;Q6UXD5, 1060;P27797~2490;P70699]	19	17	3	[16;Q3SZR3~15;F6Y713, 1840;P43308~1597;Q96AY3, 1287;Q86SQ4~1121;P00748]
True Positive Rate	True Negative Rate	Positive Predictive Value	Negative Predictive Value	False Discovery Rate	False Negative Rate	False Positive Rate	False Omission Rate	Matthews Correlation Coefficient (MCC)
0.8571428571428571	0.8947368421052632	0.9	0.85	0.1	0.14285714285714285	0.10526315789473684	0.15	0.7509392614826383
