Total Positive Comparisons	True  Positive Comparisons	False Positive Comparisons	False Positives List	Total Negative Comparisons	True  Negative Comparisons	False Negative Comparisons	False Negatives List
21	3	0	[]	19	19	18	[568;O15389~569;Q9Y286, 16;Q3SZR3~15;F6Y713, 14;P19652~730;P01023, 1524;Q9H8L6~1925;P04040, 1966;O95497~1951;P35527, 1966;O95497~1934;Q93070, 2490;P70699~1060;P27797, 1961;Q8IVL1~1959;Q7Z7M0, 1958;O43451~1407;P08648, 682;P13598~1601;P80108, 2569;Q63912~2601;Q9CQF9, 2306;P43006~2273;O55026, 1840;P43308~1597;Q96AY3, 2991;P12314-2~2999;P31994-3, 3001;O75015~2991;P12314-2, 2966;P01876~2965;P01876, 2332;Q99JP7~2281;P21995, 1287;Q86SQ4~1121;P00748]
True Positive Rate	True Negative Rate	Positive Predictive Value	Negative Predictive Value	False Discovery Rate	False Negative Rate	False Positive Rate	False Omission Rate	Matthews Correlation Coefficient (MCC)
0.14285714285714285	1.0	1.0	0.5135135135135135	0.0	0.8571428571428571	0.0	0.4864864864864865	0.27084880165707464
