Node	Occurrences	Present in network(s)
H6N4F1S3	1	[46;Q9TRC7]
H8N2S1	1	[815;P15144]
H8N8F1S3	3	[140;P01588, 2986;P08637, 2990;P08637]
H8N8F1S4	3	[2989;P08637, 2988;P08637, 2987;P08637]
H11N9F1	1	[1044;Q10589]
H5N4F2S1G1	1	[613;P07911]
H5N5G3	1	[798;Q60590]
H8N6S4	2	[14;P19652, 96;P00740]
H3N5F1G1	1	[685;P41222]
H6N3F1p1	1	[140;P01588]
H10N10F1S4	5	[2989;P08637, 2986;P08637, 2988;P08637, 2990;P08637, 2987;P08637]
H8N4F1	2	[360;P35495, 361;P35496]
H6N2F1S1	1	[2384;Q8R366]
H7N6F1S2G1	2	[685;P41222, 613;P07911]
H3N5F2S1	1	[613;P07911]
H5N5F4	7	[1281;Q8NBJ4, 1196;P22413, 1493;O95460, 1842;Q9HD45, 1479;Q14108, 1066;O75976, 655;Q13308]
H7N6S2s1	1	[613;P07911]
H7N5F1S3	14	[1557;O14786, 57;P04114, 99;P00451, 641;Q9GZM5, 230;P01876, 1242;Q06828, 342;P08101, 627;P04275, 1154;Q02985, 283;P05556, 617;P33151, 186;P14220, 283;P08648, 1934;Q93070]
H4N3F2s1	1	[1071;P06731]
H7N9	1	[613;P07911]
H6N4F2S3	1	[1944;Q8TDY8]
H6N7F3	1	[358;P04273]
H9N8S3	1	[2990;P08637]

