Total Positive Comparisons	True  Positive Comparisons	False Positive Comparisons	False Positives List	Total Negative Comparisons	True  Negative Comparisons	False Negative Comparisons	False Negatives List
9	9	13	[1012;Q9BYF1~633;P10761, 230;P01876~613;P07911, 140;P01588~613;P07911, 6;P14780~140;P01588, 380;Q62635~230;P01876, 74;P19835~633;P10761, 1519;Q02817~613;P07911, 381;Q62635~140;P01588, 381;Q62635~634;P21754, 374;P15941~309;P02668, 634;P21754~6;P14780, 685;P41222~1519;Q02817, 641;Q9GZM5~613;P07911]	15	2	0	[]
True Positive Rate	True Negative Rate	Positive Predictive Value	Negative Predictive Value	False Discovery Rate	False Negative Rate	False Positive Rate	False Omission Rate	Matthews Correlation Coefficient (MCC)
1.0	0.13333333333333333	0.4090909090909091	1.0	0.5909090909090909	0.0	0.8666666666666667	0.0	0.2335496832484569
