Total Positive Comparisons	True  Positive Comparisons	False Positive Comparisons	False Positives List	Total Negative Comparisons	True  Negative Comparisons	False Negative Comparisons	False Negatives List
25	24	19	[2537;P11627~227;P01877, 2786;Q80X71~2714;P97797, 2415;O08532-4~2461;P02468, 41;P02771~1011;P12821, 1793;Q9UQP3~176;P07359, 1011;P12821~227;P01877, 2592;Q80UG2~2402;P43406, 568;O15389~1011;P12821, 427;P10522~601;P01217, 677;P05090~20;P01009, 433;Q62765~2714;P97797, 2954;Q712V9~765;P01854, 2714;P97797~2415;O08532-4, 765;P01854~2537;P11627, 1635;O60568~1538;Q96NY8, 475;P01012~227;P01877, 2961;P0DOX2~750;P05543, 320;P02788~759;P10909, 2966;P01876~2964;P0DOX5]	20	1	1	[475;P01012~479;P01005]
True Positive Rate	True Negative Rate	Positive Predictive Value	Negative Predictive Value	False Discovery Rate	False Negative Rate	False Positive Rate	False Omission Rate	Matthews Correlation Coefficient (MCC)
0.96	0.05	0.5581395348837209	0.5	0.4418604651162791	0.04	0.95	0.5	0.0241121411085206
